date,maxTemp,minTemp,rainfall,morningHumidity,eveningHumidity
2004-02-10,23.5,3.5,0.0,97.1,57.8
2004-02-11,22.5,3.3,0.0,94.4,55.5
2004-02-12,22.1,3.4,0.0,89.0,44.7
2004-02-13,23.2,5.1,0.0,84.8,57.4
2004-02-14,23.5,5.0,0.0,92.0,58.5
2004-02-15,20.3,4.8,0.0,94.7,84.6
2004-02-16,22.2,4.3,0.0,94.5,56.9
2004-02-17,23.2,4.4,0.0,94.7,59.7
2004-02-18,24.0,6.5,0.0,94.8,63.2
2004-02-19,22.9,6.3,0.0,94.9,62.8
2004-02-20,23.0,5.7,0.0,80.6,63.0
2004-02-21,22.5,6.1,0.0,95.0,65.0
2004-02-22,21.6,7.2,0.0,95.1,70.7
2004-02-23,23.5,7.3,0.0,96.3,70.3
2004-02-24,23.5,11.6,0.0,89.2,55.6
2004-02-25,21.4,12.0,0.0,89.2,66.7
2004-02-26,25.0,9.8,0.0,91.1,88.0
2004-02-27,25.0,10.9,0.0,95.6,66.9
2004-02-28,25.8,8.4,0.0,95.2,38.1
2004-02-29,27.3,7.7,0.0,89.4,37.1
2004-03-01,28.0,7.2,0.0,96.4,39.8
2004-03-02,27.8,7.0,0.0,86.0,40.3
2004-03-03,27.0,7.3,0.0,87.4,55.5
2004-03-04,26.0,10.3,0.0,83.2,55.8
2004-03-05,27.8,9.5,0.0,94.2,60.1
2004-03-06,25.8,7.5,0.0,94.2,61.7
2004-03-07,22.3,6.3,0.0,79.9,60.8
2004-03-08,24.8,5.5,0.0,70.9,48.1
2004-03-09,27.6,6.5,0.0,77.7,37.8
2004-03-10,22.8,7.6,0.0,79.7,80.3
2004-03-11,24.2,11.0,2.7,91.4,63.1
2004-03-12,23.5,9.7,0.0,87.0,65.3
2004-03-13,25.1,12.4,0.4,95.7,68.0
2004-03-14,24.4,11.3,0.0,97.8,74.6
2004-03-15,26.1,11.3,0.0,96.7,97.0
2004-03-16,26.1,12.0,29.2,97.8,67.7
2004-03-17,27.4,12.8,0.0,97.9,68.1
2004-03-18,28.0,15.3,0.0,91.4,67.3
2004-03-19,27.8,15.6,0.0,86.7,63.8
2004-03-20,29.1,16.4,0.0,86.4,75.2
2004-03-21,28.4,18.0,0.0,85.9,71.0
2004-03-22,28.4,15.4,0.0,80.5,63.6
2004-03-23,29.6,14.2,0.0,86.0,50.8
2004-03-24,30.6,13.0,0.0,72.1,40.3
2004-03-25,30.7,11.4,0.0,67.4,37.6
2004-03-26,30.5,9.7,0.0,63.0,33.7
2004-03-27,28.6,10.0,0.0,68.4,39.8
2004-03-28,30.0,9.5,0.0,61.2,31.1
2004-03-29,30.2,10.0,0.0,56.2,37.6
2004-03-30,29.0,9.0,0.0,70.0,44.2
2004-03-31,27.5,9.0,0.0,69.1,46.0
2004-04-01,27.6,8.6,0.0,65.9,49.5
2004-04-02,25.6,10.9,0.0,78.0,57.9
2004-04-03,26.5,10.9,26.5,80.3,60.2
2004-04-04,28.0,13.5,0.0,75.8,49.1
2004-04-05,27.1,14.5,0.0,78.1,61.4
2004-04-06,29.2,14.0,0.0,75.5,49.8
2004-04-07,23.5,13.5,0.0,73.0,90.3
2004-04-08,27.2,10.0,0.0,80.1,69.3
2004-04-09,27.3,13.6,0.2,74.7,69.0
2004-04-10,29.4,13.3,2.4,86.8,61.5
2004-04-11,30.6,15.0,0.0,83.7,54.2
2004-04-12,30.5,13.6,0.0,81.4,60.0
2004-04-13,29.5,13.0,0.3,74.2,50.1
2004-04-14,30.6,13.5,0.2,73.1,55.0
2004-04-15,31.3,13.5,0.0,63.1,47.7
2004-04-16,29.8,12.8,7.2,92.1,55.0
2004-04-17,30.0,14.6,0.0,73.8,55.9
2004-04-18,30.0,5.7,13.5,94.2,92.6
2004-04-19,25.2,13.5,72.4,90.3,79.1
2004-04-20,26.7,17.0,0.0,90.5,70.5
2004-04-21,29.3,15.5,0.0,83.7,66.7
2004-04-22,29.5,17.0,0.0,78.5,85.8
2004-04-23,26.8,13.4,10.4,77.1,67.0
2004-04-24,26.8,14.7,0.4,68.7,81.6
2004-04-25,26.2,11.4,1.0,83.8,57.3
2004-04-26,28.5,12.6,0.0,81.1,76.9
2004-04-27,26.4,14.4,0.4,73.1,86.9
2004-04-28,19.0,14.5,10.6,83.4,87.8
2004-04-29,26.6,12.7,18.6,85.9,62.8
2004-04-30,25.5,15.4,0.0,78.9,59.8
2004-05-01,26.1,13.5,8.6,65.0,59.6
2004-05-02,28.5,12.2,6.1,75.1,58.0
2004-05-03,28.6,12.7,0.0,73.3,48.6
2004-05-04,28.2,12.6,0.0,66.4,48.6
2004-05-05,28.3,14.0,0.0,70.3,48.3
2004-05-06,30.0,13.6,0.0,68.0,59.3
2004-05-07,30.8,15.3,0.0,70.6,52.9
2004-05-08,31.3,14.9,0.0,65.3,47.4
2004-05-09,30.9,16.0,0.0,71.1,63.1
2004-05-10,31.7,18.4,0.0,72.8,64.8
2004-05-11,32.4,16.6,0.0,67.7,54.2
2004-05-12,32.5,16.7,0.0,69.0,58.5
2004-05-13,32.4,18.1,0.0,66.7,60.1
2004-05-14,32.7,19.7,0.0,71.5,53.2
2004-05-15,33.7,19.4,0.0,63.9,60.4
2004-05-16,32.7,22.2,0.0,76.9,78.2
2004-05-17,29.5,19.3,21.8,91.3,82.3
2004-05-18,30.7,21.0,9.5,87.0,78.2
2004-05-19,26.2,18.5,16.3,94.6,88.2
2004-05-20,22.0,17.6,47.3,97.1,94.2
2004-05-21,22.0,15.8,18.2,90.8,94.4
2004-05-22,22.6,16.3,1.4,90.8,86.1
2004-05-23,28.0,16.3,0.7,84.6,91.2
2004-05-24,27.7,14.0,17.6,85.5,86.0
2004-05-25,26.0,15.7,0.2,85.4,77.3
2004-05-26,26.5,16.2,18.3,90.1,72.5
2004-05-27,27.5,17.3,1.6,94.4,79.2
2004-05-28,25.5,17.5,0.5,85.5,76.3
2004-05-29,27.0,16.2,0.0,83.2,79.2
2004-05-30,26.6,16.4,0.3,83.7,80.7
2004-05-31,27.3,17.0,0.4,84.9,89.9
2004-06-01,26.5,16.2,23.8,96.1,79.7
2004-06-02,28.5,17.8,1.2,96.3,67.9
2004-06-03,28.1,18.4,5.4,86.2,69.4
2004-06-04,27.0,18.2,0.0,89.7,82.0
2004-06-05,27.4,17.0,1.9,89.3,83.2
2004-06-06,27.8,16.0,13.0,85.4,69.7
2004-06-07,27.8,18.6,0.9,83.2,92.9
2004-06-08,29.4,18.0,18.3,83.2,75.5
2004-06-09,27.0,19.0,3.8,91.2,77.0
2004-06-10,26.8,18.0,0.0,85.0,93.0
2004-06-11,28.5,18.7,14.0,82.2,77.4
2004-06-12,29.7,18.2,19.2,92.8,73.0
2004-06-13,27.5,19.0,0.0,83.6,94.8
2004-06-14,29.8,19.5,10.0,82.2,82.0
2004-06-15,29.8,20.5,0.0,86.8,75.7
2004-06-16,27.7,21.0,4.7,94.8,84.5
2004-06-17,28.0,20.0,3.0,82.5,77.8
2004-06-18,29.1,19.9,22.4,93.2,85.5
2004-06-19,28.0,20.2,4.2,91.6,80.5
2004-06-20,28.3,18.5,2.9,91.6,91.9
2004-06-21,28.5,21.0,3.5,95.6,90.2
2004-06-22,29.4,20.0,28.7,88.4,81.8
2004-06-23,30.2,20.0,0.0,76.5,80.1
2004-06-24,29.5,18.9,0.9,81.6,89.7
2004-06-25,31.1,19.8,1.2,81.3,76.2
2004-06-26,32.4,20.6,0.0,82.6,71.5
2004-06-27,31.0,19.2,0.0,78.3,76.0
2004-06-28,31.0,20.4,0.0,81.6,75.3
2004-06-29,30.2,19.0,0.0,81.5,76.5
2004-06-30,28.0,21.0,0.0,91.6,84.6
2004-07-01,29.4,21.6,0.9,90.7,84.6
2004-07-02,31.2,21.0,0.0,85.4,95.1
2004-07-03,29.5,20.4,1.8,94.8,92.0
2004-07-04,29.4,20.6,1.2,90.1,89.5
2004-07-05,29.5,21.4,3.3,84.6,93.9
2004-07-06,31.0,21.5,1.2,94.9,88.7
2004-07-07,25.6,21.0,1.9,96.5,84.1
2004-07-08,25.7,20.5,4.8,96.5,96.4
2004-07-09,24.6,19.2,74.6,96.4,88.3
2004-07-10,23.8,19.6,27.4,96.4,94.9
2004-07-11,26.1,19.6,38.7,97.3,84.0
2004-07-12,25.3,19.7,6.6,94.7,84.1
2004-07-13,26.0,19.6,11.0,92.2,80.9
2004-07-14,28.1,19.5,0.0,75.9,82.5
2004-07-15,29.5,19.5,0.1,80.6,91.4
2004-07-16,28.6,20.2,36.2,93.1,85.8
2004-07-17,27.4,20.2,0.9,85.5,98.2
2004-07-18,27.7,20.3,73.5,90.0,93.6
2004-07-19,27.6,20.6,0.1,84.1,84.1
2004-07-20,28.5,18.2,20.2,89.3,77.8
2004-07-21,26.0,20.6,2.3,96.4,91.7
2004-07-22,27.5,20.5,8.7,94.8,84.3
2004-07-23,28.5,20.3,4.0,90.0,87.3
2004-07-24,28.7,20.4,2.5,91.6,94.8
2004-07-25,26.0,19.6,54.5,92.2,98.3
2004-07-26,28.0,20.2,1.8,90.7,92.4
2004-07-27,27.0,19.2,41.7,90.5,87.3
2004-07-28,28.4,19.6,19.1,93.9,96.6
2004-07-29,26.5,19.8,17.2,90.7,97.4
2004-07-30,28.0,20.1,3.3,93.1,88.6
2004-07-31,29.0,20.2,0.0,93.2,78.6
2004-08-01,30.4,19.2,0.4,88.3,78.3
2004-08-02,28.2,20.4,0.0,83.0,88.5
2004-08-03,30.1,20.7,2.4,82.5,85.9
2004-08-04,29.0,20.1,30.8,94.9,88.7
2004-08-05,29.4,20.9,3.4,84.1,77.9
2004-08-06,29.3,21.0,0.0,84.0,76.1
2004-08-07,26.2,21.7,3.6,91.6,85.8
2004-08-08,28.6,20.6,3.8,86.9,92.4
2004-08-09,29.0,20.8,10.2,91.7,83.2
2004-08-10,29.2,20.6,4.4,87.5,82.4
2004-08-11,29.8,19.3,0.0,83.8,77.1
2004-08-12,28.5,20.0,0.0,84.5,87.1
2004-08-13,28.1,20.4,52.1,83.9,93.1
2004-08-14,30.4,19.8,4.0,84.9,77.8
2004-08-15,30.2,21.0,0.0,87.5,80.9
2004-08-16,28.5,20.0,21.8,86.8,67.6
2004-08-17,30.0,21.6,1.5,89.1,80.9
2004-08-18,28.5,20.5,3.8,86.8,91.4
2004-08-19,29.3,20.4,2.1,86.5,74.0
2004-08-20,26.4,20.4,6.2,86.7,85.5
2004-08-21,28.5,20.8,1.4,86.8,67.5
2004-08-22,30.0,20.6,0.0,83.9,67.2
2004-08-23,31.0,20.8,0.2,74.0,69.9
2004-08-24,31.1,20.5,8.2,72.7,83.9
2004-08-25,29.4,20.6,9.4,80.9,95.7
2004-08-26,30.6,20.6,32.6,88.3,71.5
2004-08-27,29.0,21.2,0.0,90.0,74.5
2004-08-28,29.7,20.7,0.0,83.9,76.9
2004-08-29,28.7,20.8,5.6,89.2,78.3
2004-08-30,28.0,21.4,0.5,83.9,81.5
2004-08-31,28.3,21.0,11.0,94.8,93.1
2004-09-01,29.0,20.5,45.6,96.5,86.0
2004-09-02,29.7,20.8,0.2,86.8,74.9
2004-09-03,26.6,20.9,0.0,89.1,94.0
2004-09-04,28.2,20.6,3.0,96.5,78.5
2004-09-05,30.5,20.0,0.0,86.8,87.1
2004-09-06,30.5,20.7,8.0,84.0,76.0
2004-09-07,26.5,20.0,11.2,93.0,82.7
2004-09-08,27.5,21.2,9.0,91.6,84.3
2004-09-09,27.5,20.4,0.0,93.1,93.1
2004-09-10,27.2,19.3,3.6,95.5,80.9
2004-09-11,26.5,19.5,0.0,83.6,85.2
2004-09-12,27.3,18.8,9.6,93.1,80.2
2004-09-13,27.8,19.5,7.4,96.4,77.7
2004-09-14,27.5,19.0,23.6,91.2,71.2
2004-09-15,28.5,18.2,4.2,82.5,83.3
2004-09-16,29.2,17.9,9.8,83.4,91.1
2004-09-17,28.0,18.7,15.3,92.9,94.6
2004-09-18,28.2,18.6,34.7,92.8,71.2
2004-09-19,27.7,19.5,1.3,91.3,80.4
2004-09-20,27.6,19.0,8.0,83.2,81.2
2004-09-21,28.8,18.6,1.0,81.8,82.2
2004-09-22,29.5,19.0,0.0,76.0,72.9
2004-09-23,28.1,18.6,0.0,83.4,71.6
2004-09-24,29.5,17.9,0.0,87.1,69.1
2004-09-25,29.4,19.7,0.0,82.5,66.1
2004-09-26,29.5,18.4,0.0,91.1,65.8
2004-09-27,27.0,18.4,0.0,78.8,83.3
2004-09-28,28.0,19.0,0.0,88.6,77.6
2004-09-29,26.4,18.6,3.6,93.6,76.0
2004-09-30,25.0,18.0,0.0,92.7,80.2
2004-10-01,26.0,18.8,6.4,97.2,76.0
2004-10-02,29.0,18.0,6.4,87.8,82.7
2004-10-03,27.7,17.8,13.5,88.6,79.9
2004-10-04,26.6,15.7,13.3,88.0,91.0
2004-10-05,27.0,17.2,0.5,88.2,78.5
2004-10-06,28.4,16.8,0.0,82.3,88.1
2004-10-07,28.0,17.2,62.1,96.3,79.8
2004-10-08,28.0,17.9,1.1,88.6,76.0
2004-10-09,27.2,16.0,0.0,84.8,74.4
2004-10-10,27.6,17.0,0.0,92.7,75.4
2004-10-11,27.7,18.0,0.0,89.1,77.0
2004-10-12,22.6,15.2,0.0,86.6,93.8
2004-10-13,26.9,11.5,12.3,88.1,57.6
2004-10-14,24.0,14.1,0.0,95.9,79.6
2004-10-15,26.0,11.2,0.3,84.2,82.4
2004-10-16,26.4,9.2,2.0,87.5,63.7
2004-10-17,27.4,11.4,0.0,91.5,68.9
2004-10-18,27.8,12.0,0.0,88.2,63.8
2004-10-19,27.2,12.0,0.0,93.9,60.1
2004-10-20,27.1,11.2,0.0,80.6,62.9
2004-10-21,27.0,11.4,0.0,88.3,60.1
2004-10-22,25.0,11.2,0.0,89.5,59.1
2004-10-23,25.5,10.6,0.0,82.2,61.4
2004-10-24,24.2,10.6,0.0,93.5,88.0
2004-10-25,25.0,10.3,1.4,95.5,76.1
2004-10-26,24.0,10.4,1.2,89.3,64.0
2004-10-27,23.2,10.3,0.0,95.5,72.8
2004-10-28,22.5,9.4,0.0,85.1,69.8
2004-10-29,21.6,9.5,0.0,89.3,80.3
2004-10-30,23.8,8.0,0.0,96.6,64.0
2004-10-31,24.7,7.1,0.0,95.4,71.1
2004-11-01,24.6,8.0,0.0,95.4,74.5
2004-11-02,24.3,7.0,0.0,86.5,60.7
2004-11-03,24.5,6.6,0.0,86.7,61.9
2004-11-04,24.5,6.7,0.0,85.5,57.8
2004-11-05,24.0,6.7,0.0,84.1,55.7
2004-11-06,24.8,7.0,0.0,88.7,60.8
2004-11-07,24.4,7.4,0.0,93.1,64.0
2004-11-08,23.7,7.0,0.0,84.0,75.8
2004-11-09,23.5,7.6,0.0,95.2,71.8
2004-11-10,23.2,9.6,0.0,92.3,71.8
2004-11-11,22.6,9.0,0.0,97.7,72.8
2004-11-12,23.5,7.8,0.0,95.4,71.1
2004-11-13,23.3,7.3,0.0,96.4,69.1
2004-11-14,23.0,7.2,0.0,96.4,71.4
2004-11-15,21.9,8.5,0.0,100.0,78.3
2004-11-16,22.5,8.5,0.0,97.6,80.7
2004-11-17,24.2,9.4,0.0,97.7,71.3
2004-11-18,18.2,9.2,0.0,97.6,78.0
2004-11-19,22.5,7.4,0.0,97.5,74.8
2004-11-20,22.7,7.0,0.0,97.5,75.6
2004-11-21,23.0,9.8,0.0,85.7,82.3
2004-11-22,22.9,10.4,0.0,93.3,76.8
2004-11-23,20.8,4.9,0.0,96.4,97.6
2004-11-24,20.2,9.0,36.0,97.5,75.8
2004-11-25,19.7,7.0,0.0,97.4,79.1
2004-11-26,21.3,8.4,0.0,97.5,68.7
2004-11-27,22.5,6.5,0.0,97.6,61.6
2004-11-28,22.4,5.2,0.0,97.3,62.1
2004-11-29,21.8,4.9,0.0,97.4,60.4
2004-11-30,21.6,4.4,0.0,97.2,66.0
2004-12-01,21.2,3.6,0.0,97.3,60.0
2004-12-02,20.4,4.5,0.0,97.1,67.4
2004-12-03,22.0,4.5,0.0,96.0,66.1
2004-12-04,23.8,4.4,0.0,97.3,60.3
2004-12-05,23.5,4.4,0.0,94.7,87.6
2004-12-06,21.5,4.6,0.0,98.6,75.4
2004-12-07,22.2,6.4,0.0,97.4,65.0
2004-12-08,22.5,5.8,0.0,97.4,70.2
2004-12-09,21.2,5.9,0.0,91.9,71.8
2004-12-10,21.0,5.5,0.0,97.2,72.6
2004-12-11,22.6,5.5,0.0,100.0,70.9
2004-12-12,22.4,6.0,0.0,98.7,67.4
2004-12-13,21.2,6.0,0.0,98.7,69.3
2004-12-14,20.5,5.4,0.0,94.7,61.9
2004-12-15,21.5,5.4,0.0,94.5,69.1
2004-12-16,22.2,5.5,0.0,97.3,70.9
2004-12-17,22.4,7.0,0.0,96.2,66.5
2004-12-18,22.0,5.5,0.0,94.7,73.2
2004-12-19,21.2,6.0,0.0,97.3,72.9
2004-12-20,17.9,8.0,0.0,92.8,73.1
2004-12-21,19.7,6.5,0.0,97.3,74.6
2004-12-22,18.6,4.2,0.0,98.6,68.1
2004-12-23,21.0,4.6,0.0,97.2,64.6
2004-12-24,19.8,2.9,0.0,90.0,67.5
2004-12-25,19.7,1.5,0.0,93.6,87.9
2004-12-26,18.5,0.5,0.0,96.6,59.9
2004-12-27,16.8,-0.3,0.0,90.1,69.0
2004-12-28,18.8,0.0,0.0,98.3,61.6
2004-12-29,19.7,0.4,0.0,96.8,58.2
2004-12-30,18.2,2.5,0.0,94.0,65.7
2004-12-31,15.5,6.4,0.0,87.0,71.1
2005-01-01,13.5,6.2,0.0,94.5,77.4
2005-01-02,19.5,7.8,0.0,87.8,65.3
2005-01-03,22.3,3.5,0.0,84.8,45.0
2005-01-04,22.1,4.3,0.0,95.6,61.1
2005-01-05,21.0,3.8,0.0,95.6,63.0
2005-01-06,21.5,3.3,0.0,97.0,65.5
2005-01-07,20.4,5.5,0.0,94.5,69.1
2005-01-08,20.4,5.4,0.0,97.3,65.7
2005-01-09,19.5,5.0,0.0,98.6,68.7
2005-01-10,19.3,2.1,0.0,98.4,63.1
2005-01-11,18.1,2.5,0.0,97.0,67.8
2005-01-12,17.8,1.5,0.0,96.6,67.5
2005-01-13,17.5,1.2,0.0,93.4,81.7
2005-01-14,18.8,2.5,0.0,96.9,64.6
2005-01-15,19.1,1.4,0.0,96.9,65.4
2005-01-16,19.8,4.0,0.0,97.1,68.4
2005-01-17,18.4,6.5,0.0,97.4,68.7
2005-01-18,8.9,6.7,21.7,94.8,97.2
2005-01-19,16.0,3.6,0.0,96.9,79.3
2005-01-20,17.6,3.1,0.0,94.1,69.2
2005-01-21,17.5,1.3,0.0,96.8,71.3
2005-01-22,16.6,6.2,4.9,97.3,73.4
2005-01-23,10.7,5.5,8.7,95.9,81.8
2005-01-24,14.6,6.8,19.8,94.7,70.6
2005-01-25,18.5,6.1,0.0,88.1,62.5
2005-01-26,19.7,7.0,0.0,87.1,66.5
2005-01-27,20.0,3.2,0.0,98.5,62.7
2005-01-28,13.7,4.9,0.0,94.4,70.1
2005-01-29,19.6,1.5,0.0,96.8,46.8
2005-01-30,18.6,2.6,0.0,95.5,58.4
2005-01-31,13.5,7.6,0.0,91.0,75.2
2005-02-01,16.0,7.6,1.6,97.4,79.7
2005-02-02,20.0,6.0,0.0,89.5,56.2
2005-02-03,21.5,3.0,0.0,97.0,65.3
2005-02-04,21.6,3.2,0.0,100.0,61.2
2005-02-05,21.4,7.0,0.0,87.5,59.1
2005-02-06,19.5,4.5,0.0,97.1,55.3
2005-02-07,19.9,4.5,0.0,95.7,60.2
2005-02-08,17.5,5.4,0.0,97.2,76.9
2005-02-09,23.0,2.5,0.0,97.1,57.1
2005-02-10,24.6,3.6,0.0,91.6,50.3
2005-02-11,24.4,9.5,0.0,84.1,45.3
2005-02-12,24.6,6.0,0.0,91.3,39.8
2005-02-13,23.6,5.5,0.0,94.7,38.1
2005-02-14,23.9,4.7,0.0,88.7,49.2
2005-02-15,16.4,6.3,0.0,94.7,72.2
2005-02-16,22.0,6.2,1.9,96.2,51.7
2005-02-17,23.3,4.5,0.0,86.9,49.5
2005-02-18,18.8,7.0,1.5,84.5,47.0
2005-02-19,23.8,5.0,0.0,86.4,36.9
2005-02-20,20.0,6.0,0.0,86.9,40.3
2005-02-21,24.0,2.2,0.0,85.9,38.9
2005-02-22,21.2,10.2,0.0,71.0,75.6
2005-02-23,22.2,6.8,12.0,92.6,47.8
2005-02-24,24.5,5.4,0.0,94.9,54.7
2005-02-25,24.4,7.1,0.0,92.7,42.5
2005-02-26,24.5,7.2,0.0,90.6,48.0
2005-02-27,24.9,7.5,0.0,93.1,67.7
2005-02-28,24.5,9.7,0.0,88.8,59.1
2005-03-01,24.7,8.5,0.0,88.7,55.3
2005-03-02,26.3,9.0,0.0,87.7,45.5
2005-03-03,26.6,9.5,0.0,83.4,45.5
2005-03-04,28.5,10.0,0.0,87.2,51.4
2005-03-05,25.0,12.2,0.0,89.6,40.6
2005-03-06,27.0,8.2,0.0,88.6,29.0
2005-03-07,29.4,9.3,0.0,84.2,46.3
2005-03-08,26.2,12.2,0.0,60.9,49.6
2005-03-09,27.5,10.2,0.0,82.0,38.3
2005-03-10,27.3,12.6,0.0,79.2,42.3
2005-03-11,20.2,11.7,0.0,71.5,94.3
2005-03-12,24.2,6.4,10.2,97.4,65.5
2005-03-13,25.5,8.8,3.0,88.7,50.7
2005-03-14,28.0,9.0,0.0,79.4,46.5
2005-03-15,28.2,8.9,0.0,81.7,46.1
2005-03-16,26.7,10.0,0.0,82.8,61.2
2005-03-17,26.5,14.0,0.8,88.8,57.0
2005-03-18,25.6,14.6,0.0,86.0,91.8
2005-03-19,26.2,13.5,22.5,93.9,53.3
2005-03-20,27.2,11.5,0.2,78.8,60.4
2005-03-21,27.6,10.5,0.3,83.0,56.1
2005-03-22,22.6,12.4,4.7,95.6,71.3
2005-03-23,25.6,7.8,3.0,88.6,46.1
2005-03-24,17.4,10.1,0.0,69.4,75.2
2005-03-25,23.2,7.0,3.2,86.4,55.5
2005-03-26,23.9,7.7,0.0,83.4,65.5
2005-03-27,26.6,11.0,0.0,77.9,64.0
2005-03-28,27.0,10.0,0.0,91.3,60.0
2005-03-29,26.8,8.6,2.2,82.9,44.8
2005-03-30,25.3,9.5,0.0,78.5,35.5
2005-03-31,27.3,7.4,0.0,79.2,40.9
2005-04-01,28.0,7.9,0.0,65.8,29.2
2005-04-02,27.4,8.0,0.0,53.8,36.1
2005-04-03,25.6,8.8,0.0,66.1,68.9
2005-04-04,27.0,7.6,0.5,70.5,46.1
2005-04-05,27.5,9.6,0.0,70.9,54.0
2005-04-06,27.2,12.8,0.0,76.8,53.4
2005-04-07,28.5,13.4,0.0,76.5,37.3
2005-04-08,30.4,12.7,0.0,67.2,32.0
2005-04-09,29.0,14.5,0.2,69.1,75.4
2005-04-10,29.5,10.0,1.6,74.8,48.2
2005-04-11,28.5,10.8,0.0,77.1,24.9
2005-04-12,29.0,7.8,0.0,57.9,35.8
2005-04-13,28.9,9.0,0.0,68.8,38.9
2005-04-14,29.6,10.4,0.0,73.7,43.5
2005-04-15,29.5,11.5,0.0,74.2,33.3
2005-04-16,31.0,11.6,0.0,62.9,43.5
2005-04-17,31.0,12.5,0.0,61.7,65.3
2005-04-18,31.7,12.0,0.0,70.9,59.3
2005-04-19,30.4,12.0,0.0,56.7,32.6
2005-04-20,30.3,11.0,0.0,70.6,27.8
2005-04-21,30.6,12.0,0.0,61.7,51.8
2005-04-22,28.6,15.0,0.0,71.6,57.5
2005-04-23,28.8,14.8,0.7,78.5,90.9
2005-04-24,29.5,15.0,6.3,90.3,69.1
2005-04-25,29.0,13.4,0.2,87.5,74.0
2005-04-26,28.5,14.4,0.0,70.6,69.7
2005-04-27,29.9,12.9,9.9,77.5,69.0
2005-04-28,26.4,13.7,0.0,87.9,72.6
2005-04-29,29.3,11.0,0.0,62.9,88.0
2005-04-30,17.5,11.5,15.4,96.7,80.9
2005-05-01,26.3,11.8,2.6,85.0,63.1
2005-05-02,23.7,14.1,0.0,74.3,74.5
2005-05-03,24.3,13.0,0.5,84.6,64.0
2005-05-04,25.0,13.6,0.0,78.4,80.8
2005-05-05,24.3,12.5,8.8,89.7,63.1
2005-05-06,24.3,15.0,8.3,93.9,71.3
2005-05-07,24.0,13.4,1.2,81.6,72.7
2005-05-08,24.5,16.1,0.7,87.0,70.4
2005-05-09,27.5,17.0,5.7,96.2,78.3
2005-05-10,30.0,15.0,0.0,79.5,35.4
2005-05-11,29.5,11.9,0.0,59.0,38.2
2005-05-12,29.6,12.0,0.0,63.7,54.0
2005-05-13,30.0,12.4,0.0,62.6,39.5
2005-05-14,30.5,12.5,0.7,68.4,45.0
2005-05-15,29.1,12.0,4.0,72.5,53.5
2005-05-16,30.4,15.1,0.0,71.0,66.5
2005-05-17,29.6,13.6,1.5,73.1,72.3
2005-05-18,31.0,14.0,0.7,72.0,70.7
2005-05-19,31.8,13.5,0.0,59.3,75.5
2005-05-20,30.2,12.9,4.9,67.5,86.4
2005-05-21,31.0,15.3,0.0,65.9,54.3
2005-05-22,31.0,18.2,0.0,85.2,73.2
2005-05-23,30.2,19.0,0.0,94.2,62.8
2005-05-24,32.3,18.0,0.0,80.0,55.1
2005-05-25,32.0,18.0,0.0,66.7,52.3
2005-05-26,33.0,17.3,0.0,69.0,48.0
2005-05-27,33.2,17.9,0.0,64.4,39.1
2005-05-28,32.5,15.1,1.0,71.3,32.9
2005-05-29,34.1,16.0,0.0,51.1,46.1
2005-05-30,33.8,17.7,0.0,57.1,57.3
